timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1485111619286,180,Petición HTTP,502,Bad Gateway,Alcaldia 1-524,text,false,,155,191,453,453,180,0,46
1485111619291,174,Petición HTTP,502,Bad Gateway,Alcaldia 1-529,text,false,,155,191,452,452,174,0,50
1485111619315,161,Petición HTTP,502,Bad Gateway,Alcaldia 1-550,text,false,,155,191,456,456,161,0,53
1485111619318,158,Petición HTTP,502,Bad Gateway,Alcaldia 1-552,text,false,,155,191,456,456,158,0,50
1485111619316,160,Petición HTTP,502,Bad Gateway,Alcaldia 1-551,text,false,,155,191,456,456,160,0,52
1485111619319,158,Petición HTTP,502,Bad Gateway,Alcaldia 1-553,text,false,,155,191,455,455,158,0,49
1485111619314,163,Petición HTTP,502,Bad Gateway,Alcaldia 1-549,text,false,,155,191,455,455,163,0,54
1485111619321,157,Petición HTTP,502,Bad Gateway,Alcaldia 1-555,text,false,,155,191,453,453,157,0,50
1485111619320,158,Petición HTTP,502,Bad Gateway,Alcaldia 1-554,text,false,,155,191,452,452,158,0,50
1485111619322,157,Petición HTTP,502,Bad Gateway,Alcaldia 1-556,text,false,,155,191,451,451,157,0,49
1485111619297,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-532,text,false,,155,191,452,452,184,0,72
1485111619327,166,Petición HTTP,502,Bad Gateway,Alcaldia 1-561,text,false,,155,191,463,463,166,0,44
1485111619325,168,Petición HTTP,502,Bad Gateway,Alcaldia 1-559,text,false,,155,191,462,462,168,0,47
1485111619326,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-557,text,false,,155,191,462,462,167,0,46
1485111619326,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-558,text,false,,155,191,462,462,167,0,54
1485111619326,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-560,text,false,,155,191,462,462,167,0,45
1485111619331,162,Petición HTTP,502,Bad Gateway,Alcaldia 1-562,text,false,,155,191,462,462,162,0,50
1485111619347,170,Petición HTTP,502,Bad Gateway,Alcaldia 1-578,text,false,,155,191,478,478,170,0,49
1485111619333,186,Petición HTTP,502,Bad Gateway,Alcaldia 1-566,text,false,,155,191,479,479,186,0,48
1485111619377,144,Petición HTTP,502,Bad Gateway,Alcaldia 1-590,text,false,,155,191,480,480,144,0,46
1485111619348,173,Petición HTTP,502,Bad Gateway,Alcaldia 1-579,text,false,,155,191,480,480,173,0,68
1485111619346,176,Petición HTTP,502,Bad Gateway,Alcaldia 1-573,text,false,,155,191,480,480,176,0,54
1485111619375,147,Petición HTTP,502,Bad Gateway,Alcaldia 1-587,text,false,,155,191,481,481,147,0,47
1485111619377,145,Petición HTTP,502,Bad Gateway,Alcaldia 1-591,text,false,,155,191,480,480,145,0,46
1485111619377,146,Petición HTTP,502,Bad Gateway,Alcaldia 1-592,text,false,,155,191,480,480,146,0,45
1485111619376,148,Petición HTTP,502,Bad Gateway,Alcaldia 1-588,text,false,,155,191,482,482,148,0,47
1485111619347,176,Petición HTTP,502,Bad Gateway,Alcaldia 1-577,text,false,,155,191,481,481,176,0,59
1485111619373,152,Petición HTTP,502,Bad Gateway,Alcaldia 1-601,text,false,,155,191,482,482,152,0,48
1485111619369,157,Petición HTTP,502,Bad Gateway,Alcaldia 1-581,text,false,,155,191,483,483,157,0,51
1485111619346,181,Petición HTTP,502,Bad Gateway,Alcaldia 1-575,text,false,,155,191,484,484,181,0,60
1485111619373,154,Petición HTTP,502,Bad Gateway,Alcaldia 1-600,text,false,,155,191,484,484,154,0,48
1485111619375,148,Petición HTTP,502,Bad Gateway,Alcaldia 1-603,text,false,,155,191,483,483,148,0,48
1485111619370,158,Petición HTTP,502,Bad Gateway,Alcaldia 1-584,text,false,,155,191,483,483,158,0,50
1485111619369,159,Petición HTTP,502,Bad Gateway,Alcaldia 1-597,text,false,,155,191,483,483,159,0,51
1485111619376,154,Petición HTTP,502,Bad Gateway,Alcaldia 1-589,text,false,,155,191,482,482,154,0,47
1485111619378,152,Petición HTTP,502,Bad Gateway,Alcaldia 1-605,text,false,,155,191,482,482,152,0,45
1485111619378,152,Petición HTTP,502,Bad Gateway,Alcaldia 1-595,text,false,,155,191,482,482,152,0,45
1485111619378,152,Petición HTTP,502,Bad Gateway,Alcaldia 1-593,text,false,,155,191,482,482,152,0,45
1485111619378,152,Petición HTTP,502,Bad Gateway,Alcaldia 1-596,text,false,,155,191,482,482,152,0,45
1485111619369,161,Petición HTTP,502,Bad Gateway,Alcaldia 1-582,text,false,,155,191,482,482,161,0,64
1485111619378,152,Petición HTTP,502,Bad Gateway,Alcaldia 1-594,text,false,,155,191,482,482,152,0,45
1485111619379,151,Petición HTTP,502,Bad Gateway,Alcaldia 1-604,text,false,,155,191,482,482,151,0,44
1485111619369,161,Petición HTTP,502,Bad Gateway,Alcaldia 1-583,text,false,,155,191,482,482,161,0,61
1485111619371,162,Petición HTTP,502,Bad Gateway,Alcaldia 1-599,text,false,,155,191,482,482,162,0,49
1485111619369,164,Petición HTTP,502,Bad Gateway,Alcaldia 1-585,text,false,,155,191,481,481,164,0,61
1485111619374,160,Petición HTTP,502,Bad Gateway,Alcaldia 1-602,text,false,,155,191,480,480,160,0,61
1485111619369,166,Petición HTTP,502,Bad Gateway,Alcaldia 1-580,text,false,,155,191,477,477,166,0,50
1485111619375,161,Petición HTTP,502,Bad Gateway,Alcaldia 1-586,text,false,,155,191,473,473,161,0,46
1485111619379,171,Petición HTTP,502,Bad Gateway,Alcaldia 1-598,text,false,,155,191,461,461,171,0,76
1485111619379,173,Petición HTTP,502,Bad Gateway,Alcaldia 1-606,text,false,,155,191,461,461,173,0,76
1485111619388,166,Petición HTTP,502,Bad Gateway,Alcaldia 1-614,text,false,,155,191,460,460,166,0,68
1485111619389,165,Petición HTTP,502,Bad Gateway,Alcaldia 1-615,text,false,,155,191,459,459,165,0,67
1485111619381,173,Petición HTTP,502,Bad Gateway,Alcaldia 1-608,text,false,,155,191,459,459,173,0,74
1485111619409,145,Petición HTTP,502,Bad Gateway,Alcaldia 1-630,text,false,,155,191,459,459,145,0,55
1485111619394,162,Petición HTTP,502,Bad Gateway,Alcaldia 1-618,text,false,,155,191,458,458,162,0,63
1485111619380,177,Petición HTTP,502,Bad Gateway,Alcaldia 1-607,text,false,,155,191,456,456,177,0,76
1485111619383,174,Petición HTTP,502,Bad Gateway,Alcaldia 1-609,text,false,,155,191,456,456,174,0,73
1485111619386,169,Petición HTTP,502,Bad Gateway,Alcaldia 1-612,text,false,,155,191,458,458,169,0,70
1485111619387,170,Petición HTTP,502,Bad Gateway,Alcaldia 1-613,text,false,,155,191,452,452,170,0,70
1485111619405,152,Petición HTTP,502,Bad Gateway,Alcaldia 1-628,text,false,,155,191,458,458,152,0,59
1485111619385,170,Petición HTTP,502,Bad Gateway,Alcaldia 1-611,text,false,,155,191,458,458,170,0,71
1485111619391,164,Petición HTTP,502,Bad Gateway,Alcaldia 1-616,text,false,,155,191,458,458,164,0,65
1485111619393,168,Petición HTTP,502,Bad Gateway,Alcaldia 1-617,text,false,,155,191,450,450,168,0,64
1485111619406,155,Petición HTTP,502,Bad Gateway,Alcaldia 1-629,text,false,,155,191,450,450,155,0,58
1485111619412,149,Petición HTTP,502,Bad Gateway,Alcaldia 1-634,text,false,,155,191,450,450,149,0,53
1485111619413,149,Petición HTTP,502,Bad Gateway,Alcaldia 1-635,text,false,,155,191,450,450,149,0,52
1485111619404,158,Petición HTTP,502,Bad Gateway,Alcaldia 1-627,text,false,,155,191,448,448,158,0,53
1485111619418,146,Petición HTTP,502,Bad Gateway,Alcaldia 1-640,text,false,,155,191,448,448,146,0,59
